"palabra","tipo","categoría","diccionario"
"ClaudiaNarcoCandidata","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"ClaudiaPresidenta","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"XochitlIgnorante","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"DientesDeBurro","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"priista","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"fifi","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"chaira","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"chairo","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"panista","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"proamlo","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"palera","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"palero","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"chayotero","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"chayotera","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"chayoteros","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"chayoteras","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"traidoresalapatria","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"traidorasalapatria","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"satanas","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"bozaleadas","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"paniaguado","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"zurdos","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"zurdas","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"zurdita","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"zurdo","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"zurdito","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"sheimbaun","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"shembau","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"sheinburn","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"sheinbum","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"xochil","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"xochilt","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"galves","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"xochill","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"caguen","palabra","ofensa-violencia","ofensivos-violencia"
"depravados","palabra","odio-discriminacion","ofensivos-violencia"
"mainez","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"sheinbaum","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"sheinbuam","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"galvez","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"sheinbaun","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"sheimbal","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"galve","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"morena","palabra","partido","candidaturas-partidos-ideologia-religion"
"hombre disfrazado de mujer","frase","odio-discriminacion","ofensivos-violencia"
"cuarta T","frase","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"shembaun","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"scheimbaum","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"sochitl","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"prianrd","palabra","partido","candidaturas-partidos-ideologia-religion"
"priand","palabra","partido","candidaturas-partidos-ideologia-religion"
"prianprd","palabra","partido","candidaturas-partidos-ideologia-religion"
"Movimiento ciudadano","frase","partido","candidaturas-partidos-ideologia-religion"
"en nombre de dios","frase","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"frente amplio","frase","partido","candidaturas-partidos-ideologia-religion"
"nazis","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"facho","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"honor estar con obrador","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"pit0s","palabra","groseria- doble sentido","ofensivos-violencia"
"pit0","palabra","groseria- doble sentido","ofensivos-violencia"
"pitos","palabra","groseria- doble sentido","ofensivos-violencia"
"pito","palabra","groseria- doble sentido","ofensivos-violencia"
"anallllll","palabra","groseria- doble sentido","ofensivos-violencia"
"anal","palabra","groseria- doble sentido","ofensivos-violencia"
"sehibaum","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"marco cortez","frase","partido","candidaturas-partidos-ideologia-religion"
"jefa de gobierno","frase","candidatura","candidaturas-partidos-ideologia-religion"
"delegada","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"motena","palabra","partido","candidaturas-partidos-ideologia-religion"
"caguense","palabra","ofensa-violencia","ofensivos-violencia"
"cagona","palabra","ofensa-violencia","ofensivos-violencia"
"cagonas","palabra","ofensa-violencia","ofensivos-violencia"
"xochitl.si","palabra","ofensa-violencia","candidaturas-partidos-ideologia-religion"
"xochtl","palabra","ofensa-violencia","candidaturas-partidos-ideologia-religion"
"xochiaca","palabra","ofensa-violencia","candidaturas-partidos-ideologia-religion"
"xochytl","palabra","ofensa-violencia","candidaturas-partidos-ideologia-religion"
"pito?","palabra","ofensa-violencia","ofensivos-violencia"
"prianrdmc","palabra","partido","candidaturas-partidos-ideologia-religion"
"esclaudiasheibaumpresidenta2024","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"Sheibaum,","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"Shembaum,","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"Sheimbaum,","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"Xochitl...","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"Xochitl¿Encerio","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"XOCHITL...","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"Xochitl.en","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"Xochitl¿Porque","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"precidenta","palabra","candidatura","candidaturas-partidos-ideologia-religion"
